question,answer
What type of course is English II?,English II is classified as a Theory course.
Are there any additional notes for English II?,Notes: There's no sign of the English class.
What is the course code for The world of orchestras and symphonys.?,The course code for The world of orchestras and symphonys. is NGLI100010.
Who is the instructor for The world of orchestras and symphonys.?,The instructor of The world of orchestras and symphonys. is CHOI Yumi.
How many credits is The world of orchestras and symphonys. worth?,The world of orchestras and symphonys. is worth 2.0 credits.
When and where is The world of orchestras and symphonys. held?,"The world of orchestras and symphonys. is held at Number 2, 3. in Human Social Science View (207)."
What type of course is The world of orchestras and symphonys.?,The world of orchestras and symphonys. is classified as a Theory course.
Are there any additional notes for The world of orchestras and symphonys.?,Notes: Nan
What is the course code for A Walk in an Opera?,The course code for A Walk in an Opera is NGLI100011.
Who is the instructor for A Walk in an Opera?,The instructor of A Walk in an Opera is Gummin..
How many credits is A Walk in an Opera worth?,A Walk in an Opera is worth 2.0 credits.
When and where is A Walk in an Opera held?,"A Walk in an Opera is held at Number 6, 7. in Human Social Science View (207)."
What type of course is A Walk in an Opera?,A Walk in an Opera is classified as a Theory course.
Are there any additional notes for A Walk in an Opera?,Notes: Nan
What is the course code for Well-being during well-being.?,The course code for Well-being during well-being. is NGSP1005.
Who is the instructor for Well-being during well-being.?,The instructor of Well-being during well-being. is Kim Sehwan.
How many credits is Well-being during well-being. worth?,Well-being during well-being. is worth 3.0 credits.
When and where is Well-being during well-being. held?,"Well-being during well-being. is held at Gold 2, 3, 4. in Green energy tube (101)."
What type of course is Well-being during well-being.?,Well-being during well-being. is classified as a Theory course.
Are there any additional notes for Well-being during well-being.?,Notes: Nan
What is the course code for Web and Internet?,The course code for Web and Internet is NGSW1003.
Who is the instructor for Web and Internet?,The instructor of Web and Internet is PHYSICAL CIRCLE.
How many credits is Web and Internet worth?,Web and Internet is worth 3.0 credits.
When and where is Web and Internet held?,"Web and Internet is held at Month 6,7,8,9 in Library (505)."
What type of course is Web and Internet?,Web and Internet is classified as a Theoretical Practice course.
Are there any additional notes for Web and Internet?,"Notes: There's mobile fusion, there's artificial intelligence software, there's computer science, there's information engineering, there's intelligence media, there's no learning."
What is the course code for Compatible Compatible Management?,The course code for Compatible Compatible Management is NGEN1004.
Who is the instructor for Compatible Compatible Management?,The instructor of Compatible Compatible Management is I'm so sorry..
How many credits is Compatible Compatible Management worth?,Compatible Compatible Management is worth 3.0 credits.
When and where is Compatible Compatible Management held?,"Compatible Compatible Management is held at throat 2, 3, 4. in 406 (406)."
What type of course is Compatible Compatible Management?,Compatible Compatible Management is classified as a Theory course.
Are there any additional notes for Compatible Compatible Management?,"Notes: Fusion Management, Accounting Degrees,"
What is the course code for I understand the music.?,The course code for I understand the music. is NGLI1007.
Who is the instructor for I understand the music.?,The instructor of I understand the music. is Gummin..
How many credits is I understand the music. worth?,I understand the music. is worth 2.0 credits.
When and where is I understand the music. held?,"I understand the music. is held at Month 2, 3 in Human Social Science View (207)."
What type of course is I understand the music.?,I understand the music. is classified as a Theory course.
Are there any additional notes for I understand the music.?,Notes: Nan
What is the course code for I understand the music.?,The course code for I understand the music. is NGLI1007.
Who is the instructor for I understand the music.?,The instructor of I understand the music. is CHOI Yumi.
How many credits is I understand the music. worth?,I understand the music. is worth 2.0 credits.
When and where is I understand the music. held?,"I understand the music. is held at Months 6, 7 in Human Social Science View (207)."
What type of course is I understand the music.?,I understand the music. is classified as a Theory course.
Are there any additional notes for I understand the music.?,Notes: Nan
What is the course code for I understand the music.?,The course code for I understand the music. is NGLI1007.
Who is the instructor for I understand the music.?,The instructor of I understand the music. is CHOI Yumi.
How many credits is I understand the music. worth?,I understand the music. is worth 2.0 credits.
When and where is I understand the music. held?,"I understand the music. is held at Fire 2, 3. in Human Social Science View (207)."
What type of course is I understand the music.?,I understand the music. is classified as a Theory course.
Are there any additional notes for I understand the music.?,Notes: Nan
What is the course code for I understand the music.?,The course code for I understand the music. is NGLI1007.
Who is the instructor for I understand the music.?,The instructor of I understand the music. is Gummin..
How many credits is I understand the music. worth?,I understand the music. is worth 2.0 credits.
When and where is I understand the music. held?,"I understand the music. is held at Tuesday 6, 7 in Human Social Science View (207)."
What type of course is I understand the music.?,I understand the music. is classified as a Theory course.
Are there any additional notes for I understand the music.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,"The instructor of Man and ethics. is Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.."
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Month 2,3,4 in Human Social Science View (201)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,"The instructor of Man and ethics. is Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.."
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Months 6,7,8 in Human Social Science View (201)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,The instructor of Man and ethics. is You're a spiritual man..
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Number 2, 3, 4. in PHYSIC (301)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,The instructor of Man and ethics. is The Imperial Line.
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Number 6, 7, 8. in Human Social Science View (201)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,The instructor of Man and ethics. is The new champion..
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Gold 2, 3, 4. in PHYSIC (301)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and ethics.?,The course code for Man and ethics. is NCCR1003.
Who is the instructor for Man and ethics.?,The instructor of Man and ethics. is The new champion..
How many credits is Man and ethics. worth?,Man and ethics. is worth 3.0 credits.
When and where is Man and ethics. held?,"Man and ethics. is held at Gold 6,7,8 in PHYSIC (301)."
What type of course is Man and ethics.?,Man and ethics. is classified as a Theory course.
Are there any additional notes for Man and ethics.?,Notes: Nan
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,The instructor of Man and the environment. is TERROR.
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Fire 2, 3, 4. in Construction engineer (208)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,"The instructor of Man and the environment. is Oh, my God.."
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Tuesday 6,7,8 in Chemical Environment tube (402)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,The instructor of Man and the environment. is Jun-chun..
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Number 2, 3, 4. in Window Innovator (411)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,"The instructor of Man and the environment. is Oh, my God.."
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Number 6, 7, 8. in Chemical Environment tube (402)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,The instructor of Man and the environment. is Yuram..
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Gold 2, 3, 4. in Chemical Environment tube (401)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Man and the environment.?,The course code for Man and the environment. is NCCH1003.
Who is the instructor for Man and the environment.?,The instructor of Man and the environment. is Yuram..
How many credits is Man and the environment. worth?,Man and the environment. is worth 3.0 credits.
When and where is Man and the environment. held?,"Man and the environment. is held at Gold 6,7,8 in Chemical Environment tube (401)."
What type of course is Man and the environment.?,Man and the environment. is classified as a Theory course.
Are there any additional notes for Man and the environment.?,Notes: Construction and infrastructure.
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Ching-hee.
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Month 2,3,4 in Window Innovator (316)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Ching-hee.
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Months 6,7,8 in Window Innovator (316)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Kim Yuna..
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Number 2, 3, 4. in Apothecary (710)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Kim Yuna..
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Number 6, 7, 8. in Human Social Science View (401)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Oh-hoon-hee.
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Gold 2, 3, 4. in Human Social Science View (201)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Human life and education.?,The course code for Human life and education. is NCFR1004.
Who is the instructor for Human life and education.?,The instructor of Human life and education. is Oh-hoon-hee.
How many credits is Human life and education. worth?,Human life and education. is worth 3.0 credits.
When and where is Human life and education. held?,"Human life and education. is held at Gold 6,7,8 in Human Social Science View (201)."
What type of course is Human life and education.?,Human life and education. is classified as a Theory course.
Are there any additional notes for Human life and education.?,Notes: Nan
What is the course code for Understanding human psychology.?,The course code for Understanding human psychology. is NGPH3001.
Who is the instructor for Understanding human psychology.?,The instructor of Understanding human psychology. is Lee Sun-ju.
How many credits is Understanding human psychology. worth?,Understanding human psychology. is worth 3.0 credits.
When and where is Understanding human psychology. held?,"Understanding human psychology. is held at Number 2, 3, 4. in Athletes (101)."
What type of course is Understanding human psychology.?,Understanding human psychology. is classified as a Theory course.
Are there any additional notes for Understanding human psychology.?,Notes: Nan
What is the course code for Human navigation?,The course code for Human navigation is NCCH1004.
Who is the instructor for Human navigation?,The instructor of Human navigation is The oil source..
How many credits is Human navigation worth?,Human navigation is worth 3.0 credits.
When and where is Human navigation held?,"Human navigation is held at Thirst 6,7,8 in Human Social Science View (402)."
What type of course is Human navigation?,Human navigation is classified as a Theory course.
Are there any additional notes for Human navigation?,"Notes: I'm going to show you that there's no such thing as an inter-circuit course, or humanities, or an iconology, or a design account, or a student class, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student, or a student."
What is the course code for AI ethic.?,The course code for AI ethic. is NGPH1004.
Who is the instructor for AI ethic.?,"The instructor of AI ethic. is Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim.."
How many credits is AI ethic. worth?,AI ethic. is worth 3.0 credits.
When and where is AI ethic. held?,"AI ethic. is held at Number 2, 3, 4. in Human Social Science View (403)."
What type of course is AI ethic.?,AI ethic. is classified as a Theory course.
Are there any additional notes for AI ethic.?,Notes: Nan
What is the course code for AI ethic.?,The course code for AI ethic. is NGPH1004.
Who is the instructor for AI ethic.?,"The instructor of AI ethic. is Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim, Kim.."
How many credits is AI ethic. worth?,AI ethic. is worth 3.0 credits.
When and where is AI ethic. held?,"AI ethic. is held at Number 6, 7, 8. in Human Social Science View (403)."
What type of course is AI ethic.?,AI ethic. is classified as a Theory course.
Are there any additional notes for AI ethic.?,Notes: Nan
What is the course code for I.I.D. and L.L.R.?,The course code for I.I.D. and L.L.R. is NGLI100012.
Who is the instructor for I.I.D. and L.L.R.?,The instructor of I.I.D. and L.L.R. is Yoon Line.
How many credits is I.I.D. and L.L.R. worth?,I.I.D. and L.L.R. is worth 3.0 credits.
When and where is I.I.D. and L.L.R. held?,"I.I.D. and L.L.R. is held at Number 6, 7, 8. in Felicine and joint laboratory habits (402)."
What type of course is I.I.D. and L.L.R.?,I.I.D. and L.L.R. is classified as a Theory course.
Are there any additional notes for I.I.D. and L.L.R.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Park Seung-min..
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Month 2,3,4 in Human Social Science View (404)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Park Seung-min..
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Months 6,7,8 in Human Social Science View (404)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Park Seung-min..
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Number 2, 3, 4. in Human Social Science View (404)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Park Seung-min..
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Number 6, 7, 8. in Human Social Science View (404)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Kim Doyoung.
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Gold 2, 3, 4. in Human Social Science View (401)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for Human rights and society.?,The course code for Human rights and society. is NCCH3001.
Who is the instructor for Human rights and society.?,The instructor of Human rights and society. is Kim Doyoung.
How many credits is Human rights and society. worth?,Human rights and society. is worth 3.0 credits.
When and where is Human rights and society. held?,"Human rights and society. is held at Gold 6,7,8 in Human Social Science View (401)."
What type of course is Human rights and society.?,Human rights and society. is classified as a Theory course.
Are there any additional notes for Human rights and society.?,Notes: Nan
What is the course code for general biology?,The course code for general biology is NSBI1001.
Who is the instructor for general biology?,The instructor of general biology is GUYS.
How many credits is general biology worth?,general biology is worth 3.0 credits.
When and where is general biology held?,"general biology is held at Fire 2, 3, 4. in CHEMICAL PARK (507)."
What type of course is general biology?,general biology is classified as a Theory course.
Are there any additional notes for general biology?,"Notes: Construction and environmental engineering and, first, permission to take a course and then apply for a percussion course."
What is the course code for general biology?,The course code for general biology is NSBI1001.
Who is the instructor for general biology?,The instructor of general biology is Hong Seung Hyun.
How many credits is general biology worth?,general biology is worth 3.0 credits.
When and where is general biology held?,"general biology is held at throat 2, 3, 4. in Window Innovator (317)."
What type of course is general biology?,general biology is classified as a Theory course.
Are there any additional notes for general biology?,"Notes: Construction and environmental engineering and, first, permission to take a course and then apply for a percussion course."
What is the course code for general biology?,The course code for general biology is NSBI1001.
Who is the instructor for general biology?,The instructor of general biology is Hong Seung Hyun.
How many credits is general biology worth?,general biology is worth 3.0 credits.
When and where is general biology held?,"general biology is held at Thirst 6,7,8 in Window Innovator (317)."
What type of course is general biology?,general biology is classified as a Theory course.
Are there any additional notes for general biology?,"Notes: Construction and environmental engineering and, first, permission to take a course and then apply for a percussion course."
What is the course code for Normal Biology II?,The course code for Normal Biology II is NSBI1003.
Who is the instructor for Normal Biology II?,The instructor of Normal Biology II is Kim Chang-sun..
How many credits is Normal Biology II worth?,Normal Biology II is worth 3.0 credits.
When and where is Normal Biology II held?,"Normal Biology II is held at Number 1, 2, 3. in Chemical Environment tube (501)."
What type of course is Normal Biology II?,Normal Biology II is classified as a Theory course.
Are there any additional notes for Normal Biology II?,"Notes: Chemobismic bioengineering, first of all, permission to take a course and then apply for a course at Fusion University."
What is the course code for Normal Biology II?,The course code for Normal Biology II is NSBI1003.
Who is the instructor for Normal Biology II?,The instructor of Normal Biology II is GUYS.
How many credits is Normal Biology II worth?,Normal Biology II is worth 3.0 credits.
When and where is Normal Biology II held?,"Normal Biology II is held at Number 6, 7, 8. in CHEMICAL PARK (507)."
What type of course is Normal Biology II?,Normal Biology II is classified as a Theory course.
Are there any additional notes for Normal Biology II?,"Notes: Chemobismic bioengineering, first of all, permission to take a course and then apply for a course at Fusion University."
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Igu-cheol.
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at Month 2,3,4 in Window Innovator (413)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,Notes: Nan
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Igu-cheol.
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at Months 6,7,8 in Window Innovator (413)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,"Notes: Equipment engineering and, first of all, permission to take a course and then apply for a percussion course."
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Cylinder.
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at throat 2, 3, 4. in Window Innovator (411)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,"Notes: Industrial management and, first of all, permission to take the course and then apply for the Tatous."
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Cylinder.
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at Thirst 6,7,8 in Window Innovator (411)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,"Notes: Industrial management and, first of all, permission to take the course and then apply for the Tatous."
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Sunmi..
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at Gold 2, 3, 4. in Window Innovator (317)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,"Notes: It's an architectural engineering and, first, permission to take a course and then apply for a percussion course."
What is the course code for General Chemicals?,The course code for General Chemicals is NSCH1001.
Who is the instructor for General Chemicals?,The instructor of General Chemicals is Sunmi..
How many credits is General Chemicals worth?,General Chemicals is worth 3.0 credits.
When and where is General Chemicals held?,"General Chemicals is held at Gold 6,7,8 in Window Innovator (317)."
What type of course is General Chemicals?,General Chemicals is classified as a Theory course.
Are there any additional notes for General Chemicals?,"Notes: It's an architectural engineering and, first, permission to take a course and then apply for a percussion course."
What is the course code for Understanding Japanese culture.?,The course code for Understanding Japanese culture. is NGHI1009.
Who is the instructor for Understanding Japanese culture.?,The instructor of Understanding Japanese culture. is Yoon-seok.
How many credits is Understanding Japanese culture. worth?,Understanding Japanese culture. is worth 3.0 credits.
When and where is Understanding Japanese culture. held?,"Understanding Japanese culture. is held at Gold 2, 3, 4. in Human Social Science View (206)."
What type of course is Understanding Japanese culture.?,Understanding Japanese culture. is classified as a Theory course.
Are there any additional notes for Understanding Japanese culture.?,Notes: Japanese and water.
What is the course code for Understanding Japanese culture.?,The course code for Understanding Japanese culture. is NGHI1009.
Who is the instructor for Understanding Japanese culture.?,The instructor of Understanding Japanese culture. is Yoon-seok.
How many credits is Understanding Japanese culture. worth?,Understanding Japanese culture. is worth 3.0 credits.
When and where is Understanding Japanese culture. held?,"Understanding Japanese culture. is held at Gold 6,7,8 in Human Social Science View (206)."
What type of course is Understanding Japanese culture.?,Understanding Japanese culture. is classified as a Theory course.
Are there any additional notes for Understanding Japanese culture.?,Notes: Japanese and water.
What is the course code for Japanese I?,The course code for Japanese I is NGGL1004.
Who is the instructor for Japanese I?,The instructor of Japanese I is Yoon-ju..
How many credits is Japanese I worth?,Japanese I is worth 3.0 credits.
When and where is Japanese I held?,"Japanese I is held at Month 2,3,4 in Window Innovator (411)."
What type of course is Japanese I?,Japanese I is classified as a Theory course.
Are there any additional notes for Japanese I?,Notes: Japanese and water.
What is the course code for Japanese II?,The course code for Japanese II is NGGL1005.
Who is the instructor for Japanese II?,The instructor of Japanese II is Yoon-ju..
How many credits is Japanese II worth?,Japanese II is worth 3.0 credits.
When and where is Japanese II held?,"Japanese II is held at Months 6,7,8 in Window Innovator (411)."
What type of course is Japanese II?,Japanese II is classified as a Theory course.
Are there any additional notes for Japanese II?,Notes: Japanese and water.
What is the course code for Nature’s Theory of Science?,The course code for Nature’s Theory of Science is NGSC1005.
Who is the instructor for Nature’s Theory of Science?,The instructor of Nature’s Theory of Science is Kim Tong-hyun.
How many credits is Nature’s Theory of Science worth?,Nature’s Theory of Science is worth 3.0 credits.
When and where is Nature’s Theory of Science held?,"Nature’s Theory of Science is held at Month 2,3,4 in Green energy tube (713)."
What type of course is Nature’s Theory of Science?,Nature’s Theory of Science is classified as a Theory course.
Are there any additional notes for Nature’s Theory of Science?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is Lake CHOI.
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at Month 2,3,4 in Construction engineer (209)."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is Lake CHOI.
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at Months 6,7,8 in Construction engineer (209)."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is Yu Eun-mi..
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at Number 2, 3, 4. in Human Social Science View (402)."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is The oil source..
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at Number 6, 7, 8. in Human Social Science View (402)."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is The oil source..
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at throat 2, 3, 4. in Human Social Science View (402)."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for Religion and culture.?,The course code for Religion and culture. is NCCH1006.
Who is the instructor for Religion and culture.?,The instructor of Religion and culture. is PARK Sang-gil.
How many credits is Religion and culture. worth?,Religion and culture. is worth 3.0 credits.
When and where is Religion and culture. held?,"Religion and culture. is held at Thirst 6,7,8 in P.D. 201."
What type of course is Religion and culture.?,Religion and culture. is classified as a Theory course.
Are there any additional notes for Religion and culture.?,Notes: Nan
What is the course code for The understanding of Chinese culture.?,The course code for The understanding of Chinese culture. is NGHI1010.
