question_en,answer_en
How much credit does of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
How much credit does of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
Who teaches Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Kwon Seol-ah.
Who is the professor for Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Kwon Seol-ah.
Who is the professor for Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Kwon Seol-ah.
Who is the professor for Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Kwon Seol-ah.
When is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed2,3,4."
At what time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed2,3,4."
What time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed2,3,4."
At what time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed2,3,4."
Where is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (501).
In which classroom is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (501).
At what location is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (501).
Where does Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (501).
What is the credit of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
How much credit does of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
How many credits is of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
Who teaches Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who instructs Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is teaching Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who instructs Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
When is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed6,7,8."
What time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed6,7,8."
At what time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed6,7,8."
When does Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Wed6,7,8."
Where is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Economics and Business Administration Building (201).
At what location is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Economics and Business Administration Building (201).
In which classroom is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Economics and Business Administration Building (201).
In which classroom is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Economics and Business Administration Building (201).
What is the credit of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
Who teaches Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is teaching Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is the professor for Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who instructs Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
When is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri2,3,4."
What time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri2,3,4."
What time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri2,3,4."
At what time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri2,3,4."
Where is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
Where does Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
Where does Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
At what location is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
What is the credit of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
Who teaches Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is teaching Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is teaching Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
Who is teaching Global Citizens and Nations?,The instructor of Global Citizens and Nationsis Hyunwoo Choi.
When is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri6,7,8."
When does Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri6,7,8."
At what time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri6,7,8."
What time is Global Citizens and Nationsheld?,"Global Citizens and Nationsis held on Fri6,7,8."
Where is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
In which classroom is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
At what location is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
At what location is Global Citizens and Nationslocated?,Global Citizens and Nationstakes place in Humanities and Social Sciences Museum (402).
What is the credit of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
What’s the credit count for of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
How much credit does of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
How much credit does of Global Citizens and Nations?,Global Citizens and Nationsis worth 3.0 credits.
Who teaches spanish?,The instructor of spanishis Jinmi-ryeong.
Who is teaching spanish?,The instructor of spanishis Jinmi-ryeong.
Who instructs spanish?,The instructor of spanishis Jinmi-ryeong.
Who is the professor for spanish?,The instructor of spanishis Jinmi-ryeong.
When is spanishheld?,"spanishis held on Fri2,3,4."
What time is spanishheld?,"spanishis held on Fri2,3,4."
What time is spanishheld?,"spanishis held on Fri2,3,4."
What time is spanishheld?,"spanishis held on Fri2,3,4."
Where is spanishlocated?,spanishtakes place in Green Energy Hall (604).
At what location is spanishlocated?,spanishtakes place in Green Energy Hall (604).
At what location is spanishlocated?,spanishtakes place in Green Energy Hall (604).
Where does spanishlocated?,spanishtakes place in Green Energy Hall (604).
What is the credit of spanish?,spanishis worth 3.0 credits.
What’s the credit count for of spanish?,spanishis worth 3.0 credits.
How many credits is of spanish?,spanishis worth 3.0 credits.
How many credits is of spanish?,spanishis worth 3.0 credits.
Who teaches sports and health?,The instructor of sports and healthis Park Yumi.
Who is teaching sports and health?,The instructor of sports and healthis Park Yumi.
Who is the professor for sports and health?,The instructor of sports and healthis Park Yumi.
Who instructs sports and health?,The instructor of sports and healthis Park Yumi.
When is sports and healthheld?,"sports and healthis held on Mon6,7."
What time is sports and healthheld?,"sports and healthis held on Mon6,7."
When does sports and healthheld?,"sports and healthis held on Mon6,7."
What time is sports and healthheld?,"sports and healthis held on Mon6,7."
Where is sports and healthlocated?,sports and healthtakes place in Living gym (108).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (108).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (108).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (108).
What is the credit of sports and health?,sports and healthis worth 2.0 credits.
What’s the credit count for of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
Any special notes for sports and health?,Notes: table tennis
Any remarks for for sports and health?,Notes: table tennis
Is there something special about for sports and health?,Notes: table tennis
Is there something special about for sports and health?,Notes: table tennis
Who teaches sports and health?,The instructor of sports and healthis Donghyun Kim.
Who is the professor for sports and health?,The instructor of sports and healthis Donghyun Kim.
Who instructs sports and health?,The instructor of sports and healthis Donghyun Kim.
Who instructs sports and health?,The instructor of sports and healthis Donghyun Kim.
When is sports and healthheld?,"sports and healthis held on Tue6,7."
At what time is sports and healthheld?,"sports and healthis held on Tue6,7."
What time is sports and healthheld?,"sports and healthis held on Tue6,7."
When does sports and healthheld?,"sports and healthis held on Tue6,7."
Where is sports and healthlocated?,sports and healthtakes place in Living gym (101).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (101).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (101).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (101).
What is the credit of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
How much credit does of sports and health?,sports and healthis worth 2.0 credits.
What’s the credit count for of sports and health?,sports and healthis worth 2.0 credits.
Any special notes for sports and health?,Notes: badminton
Any remarks for for sports and health?,Notes: badminton
Any remarks for for sports and health?,Notes: badminton
Is there something special about for sports and health?,Notes: badminton
Who teaches sports and health?,The instructor of sports and healthis Miyoung Choi.
Who is teaching sports and health?,The instructor of sports and healthis Miyoung Choi.
Who is teaching sports and health?,The instructor of sports and healthis Miyoung Choi.
Who is teaching sports and health?,The instructor of sports and healthis Miyoung Choi.
When is sports and healthheld?,"sports and healthis held on Wed6,7."
When does sports and healthheld?,"sports and healthis held on Wed6,7."
When does sports and healthheld?,"sports and healthis held on Wed6,7."
At what time is sports and healthheld?,"sports and healthis held on Wed6,7."
Where is sports and healthlocated?,sports and healthtakes place in Living gym (108).
In which classroom is sports and healthlocated?,sports and healthtakes place in Living gym (108).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (108).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (108).
What is the credit of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
How much credit does of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
Any special notes for sports and health?,Notes: Body rhythm and body shape management
Any remarks for for sports and health?,Notes: Body rhythm and body shape management
Are there any notes about for sports and health?,Notes: Body rhythm and body shape management
Are there any notes about for sports and health?,Notes: Body rhythm and body shape management
Who teaches sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who is teaching sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who is the professor for sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who instructs sports and health?,The instructor of sports and healthis Han Dong-yeop.
When is sports and healthheld?,"sports and healthis held on Thu6,7."
At what time is sports and healthheld?,"sports and healthis held on Thu6,7."
When does sports and healthheld?,"sports and healthis held on Thu6,7."
What time is sports and healthheld?,"sports and healthis held on Thu6,7."
Where is sports and healthlocated?,sports and healthtakes place in Living gym (108).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (108).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (108).
In which classroom is sports and healthlocated?,sports and healthtakes place in Living gym (108).
What is the credit of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
What’s the credit count for of sports and health?,sports and healthis worth 2.0 credits.
How much credit does of sports and health?,sports and healthis worth 2.0 credits.
Any special notes for sports and health?,Notes: tennis
Are there any notes about for sports and health?,Notes: tennis
Is there something special about for sports and health?,Notes: tennis
Any remarks for for sports and health?,Notes: tennis
Who teaches sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who instructs sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who instructs sports and health?,The instructor of sports and healthis Han Dong-yeop.
Who is the professor for sports and health?,The instructor of sports and healthis Han Dong-yeop.
When is sports and healthheld?,"sports and healthis held on Fri6,7."
When does sports and healthheld?,"sports and healthis held on Fri6,7."
What time is sports and healthheld?,"sports and healthis held on Fri6,7."
What time is sports and healthheld?,"sports and healthis held on Fri6,7."
Where is sports and healthlocated?,sports and healthtakes place in Living gym (108).
In which classroom is sports and healthlocated?,sports and healthtakes place in Living gym (108).
Where does sports and healthlocated?,sports and healthtakes place in Living gym (108).
At what location is sports and healthlocated?,sports and healthtakes place in Living gym (108).
What is the credit of sports and health?,sports and healthis worth 2.0 credits.
How much credit does of sports and health?,sports and healthis worth 2.0 credits.
How many credits is of sports and health?,sports and healthis worth 2.0 credits.
What’s the credit count for of sports and health?,sports and healthis worth 2.0 credits.
Any special notes for sports and health?,Notes: golf
Is there something special about for sports and health?,Notes: golf
Are there any notes about for sports and health?,Notes: golf
Is there something special about for sports and health?,Notes: golf
Who teaches Sports and Critical Thinking?,The instructor of Sports and Critical Thinkingis Kim Se-hwan.
Who instructs Sports and Critical Thinking?,The instructor of Sports and Critical Thinkingis Kim Se-hwan.
Who is the professor for Sports and Critical Thinking?,The instructor of Sports and Critical Thinkingis Kim Se-hwan.
Who is the professor for Sports and Critical Thinking?,The instructor of Sports and Critical Thinkingis Kim Se-hwan.
When is Sports and Critical Thinkingheld?,"Sports and Critical Thinkingis held on Thu2,3,4."
At what time is Sports and Critical Thinkingheld?,"Sports and Critical Thinkingis held on Thu2,3,4."
What time is Sports and Critical Thinkingheld?,"Sports and Critical Thinkingis held on Thu2,3,4."
What time is Sports and Critical Thinkingheld?,"Sports and Critical Thinkingis held on Thu2,3,4."
Where is Sports and Critical Thinkinglocated?,Sports and Critical Thinkingtakes place in Green Energy Hall (608).
Where does Sports and Critical Thinkinglocated?,Sports and Critical Thinkingtakes place in Green Energy Hall (608).
Where does Sports and Critical Thinkinglocated?,Sports and Critical Thinkingtakes place in Green Energy Hall (608).
At what location is Sports and Critical Thinkinglocated?,Sports and Critical Thinkingtakes place in Green Energy Hall (608).
What is the credit of Sports and Critical Thinking?,Sports and Critical Thinkingis worth 3.0 credits.
How many credits is of Sports and Critical Thinking?,Sports and Critical Thinkingis worth 3.0 credits.
What’s the credit count for of Sports and Critical Thinking?,Sports and Critical Thinkingis worth 3.0 credits.
What’s the credit count for of Sports and Critical Thinking?,Sports and Critical Thinkingis worth 3.0 credits.
Who teaches psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Soonju Lee.
When is psychological analysisheld?,"psychological analysisis held on Mon2,3,4."
What time is psychological analysisheld?,"psychological analysisis held on Mon2,3,4."
When does psychological analysisheld?,"psychological analysisis held on Mon2,3,4."
What time is psychological analysisheld?,"psychological analysisis held on Mon2,3,4."
Where is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
Where does psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
How many credits is of psychological analysis?,psychological analysisis worth 3.0 credits.
Who teaches psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who is teaching psychological analysis?,The instructor of psychological analysisis Soonju Lee.
When is psychological analysisheld?,"psychological analysisis held on Mon6,7,8."
At what time is psychological analysisheld?,"psychological analysisis held on Mon6,7,8."
When does psychological analysisheld?,"psychological analysisis held on Mon6,7,8."
When does psychological analysisheld?,"psychological analysisis held on Mon6,7,8."
Where is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
In which classroom is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
Who teaches psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who is teaching psychological analysis?,The instructor of psychological analysisis Soonju Lee.
When is psychological analysisheld?,"psychological analysisis held on Tue2,3,4."
What time is psychological analysisheld?,"psychological analysisis held on Tue2,3,4."
When does psychological analysisheld?,"psychological analysisis held on Tue2,3,4."
When does psychological analysisheld?,"psychological analysisis held on Tue2,3,4."
Where is psychological analysislocated?,psychological analysistakes place in Sejong (rental type) campus (217).
In which classroom is psychological analysislocated?,psychological analysistakes place in Sejong (rental type) campus (217).
At what location is psychological analysislocated?,psychological analysistakes place in Sejong (rental type) campus (217).
Where does psychological analysislocated?,psychological analysistakes place in Sejong (rental type) campus (217).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
How many credits is of psychological analysis?,psychological analysisis worth 3.0 credits.
Any special notes for psychological analysis?,"Notes: Sejong Campus face-to-face lectures, artificial intelligence software department priorityWedStudents from other departments after applyingWedriver possible"
Are there any notes about for psychological analysis?,"Notes: Sejong Campus face-to-face lectures, artificial intelligence software department priorityWedStudents from other departments after applyingWedriver possible"
Are there any notes about for psychological analysis?,"Notes: Sejong Campus face-to-face lectures, artificial intelligence software department priorityWedStudents from other departments after applyingWedriver possible"
Is there something special about for psychological analysis?,"Notes: Sejong Campus face-to-face lectures, artificial intelligence software department priorityWedStudents from other departments after applyingWedriver possible"
Who teaches psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
Who instructs psychological analysis?,The instructor of psychological analysisis Soonju Lee.
When is psychological analysisheld?,"psychological analysisis held on Tue6,7,8."
When does psychological analysisheld?,"psychological analysisis held on Tue6,7,8."
What time is psychological analysisheld?,"psychological analysisis held on Tue6,7,8."
At what time is psychological analysisheld?,"psychological analysisis held on Tue6,7,8."
Where is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
Where does psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
Where does psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (501).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
Who teaches psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is teaching psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
When is psychological analysisheld?,"psychological analysisis held on Thu2,3,4."
When does psychological analysisheld?,"psychological analysisis held on Thu2,3,4."
When does psychological analysisheld?,"psychological analysisis held on Thu2,3,4."
What time is psychological analysisheld?,"psychological analysisis held on Thu2,3,4."
Where is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
In which classroom is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
Where does psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
How many credits is of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
How much credit does of psychological analysis?,psychological analysisis worth 3.0 credits.
Who teaches psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is the professor for psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is teaching psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
Who is teaching psychological analysis?,The instructor of psychological analysisis Yeonjung Kim.
When is psychological analysisheld?,"psychological analysisis held on Thu6,7,8."
What time is psychological analysisheld?,"psychological analysisis held on Thu6,7,8."
When does psychological analysisheld?,"psychological analysisis held on Thu6,7,8."
When does psychological analysisheld?,"psychological analysisis held on Thu6,7,8."
Where is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
Where does psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
At what location is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
In which classroom is psychological analysislocated?,psychological analysistakes place in Humanities and Social Sciences Museum (103).
What is the credit of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
What’s the credit count for of psychological analysis?,psychological analysisis worth 3.0 credits.
Who teaches Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who is teaching Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who is the professor for Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who instructs Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
When is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue2,3,4."
At what time is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue2,3,4."
What time is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue2,3,4."
What time is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue2,3,4."
Where is Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
Where does Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
Where does Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
Where does Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
What is the credit of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
How much credit does of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
How many credits is of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
What’s the credit count for of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
Who teaches Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who instructs Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who is teaching Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
Who instructs Easy to understand and practicalFriJung?,The instructor of Easy to understand and practicalFriJungis Kim Eung-gyu.
When is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue6,7,8."
What time is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue6,7,8."
At what time is Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue6,7,8."
When does Easy to understand and practicalFriJungheld?,"Easy to understand and practicalFriJungis held on Tue6,7,8."
Where is Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
At what location is Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
Where does Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
Where does Easy to understand and practicalFriJunglocated?,Easy to understand and practicalFriJungtakes place in Economics and Business Administration Building (302).
What is the credit of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
What’s the credit count for of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
How much credit does of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
How much credit does of Easy to understand and practicalFriJung?,Easy to understand and practicalFriJungis worth 3.0 credits.
Who teaches Quantum Information Science and Computers?,"The instructor of Quantum Information Science and Computersis Lee Jang-won, Park Ji-yong."
Who is teaching Quantum Information Science and Computers?,"The instructor of Quantum Information Science and Computersis Lee Jang-won, Park Ji-yong."
Who is teaching Quantum Information Science and Computers?,"The instructor of Quantum Information Science and Computersis Lee Jang-won, Park Ji-yong."
Who instructs Quantum Information Science and Computers?,"The instructor of Quantum Information Science and Computersis Lee Jang-won, Park Ji-yong."
When is Quantum Information Science and Computersheld?,"Quantum Information Science and Computersis held on Wed6,7,8."
At what time is Quantum Information Science and Computersheld?,"Quantum Information Science and Computersis held on Wed6,7,8."
What time is Quantum Information Science and Computersheld?,"Quantum Information Science and Computersis held on Wed6,7,8."
At what time is Quantum Information Science and Computersheld?,"Quantum Information Science and Computersis held on Wed6,7,8."
Where is Quantum Information Science and Computerslocated?,Quantum Information Science and Computerstakes place in Green Energy Hall (608).
Where does Quantum Information Science and Computerslocated?,Quantum Information Science and Computerstakes place in Green Energy Hall (608).
Where does Quantum Information Science and Computerslocated?,Quantum Information Science and Computerstakes place in Green Energy Hall (608).
Where does Quantum Information Science and Computerslocated?,Quantum Information Science and Computerstakes place in Green Energy Hall (608).
What is the credit of Quantum Information Science and Computers?,Quantum Information Science and Computersis worth 3.0 credits.
How much credit does of Quantum Information Science and Computers?,Quantum Information Science and Computersis worth 3.0 credits.
How many credits is of Quantum Information Science and Computers?,Quantum Information Science and Computersis worth 3.0 credits.
What’s the credit count for of Quantum Information Science and Computers?,Quantum Information Science and Computersis worth 3.0 credits.
Who teaches language and society?,The instructor of language and societyis Seong Hee-jae.
Who is teaching language and society?,The instructor of language and societyis Seong Hee-jae.
Who is the professor for language and society?,The instructor of language and societyis Seong Hee-jae.
Who is the professor for language and society?,The instructor of language and societyis Seong Hee-jae.
When is language and societyheld?,"language and societyis held on Wed6,7,8."
At what time is language and societyheld?,"language and societyis held on Wed6,7,8."
At what time is language and societyheld?,"language and societyis held on Wed6,7,8."
At what time is language and societyheld?,"language and societyis held on Wed6,7,8."
Where is language and societylocated?,language and societytakes place in Humanities and Social Sciences Museum (501).
At what location is language and societylocated?,language and societytakes place in Humanities and Social Sciences Museum (501).
Where does language and societylocated?,language and societytakes place in Humanities and Social Sciences Museum (501).
At what location is language and societylocated?,language and societytakes place in Humanities and Social Sciences Museum (501).
What is the credit of language and society?,language and societyis worth 3.0 credits.
How many credits is of language and society?,language and societyis worth 3.0 credits.
What’s the credit count for of language and society?,language and societyis worth 3.0 credits.
How many credits is of language and society?,language and societyis worth 3.0 credits.
Who teaches language and society?,The instructor of language and societyis Seong Hee-jae.
Who instructs language and society?,The instructor of language and societyis Seong Hee-jae.
Who is teaching language and society?,The instructor of language and societyis Seong Hee-jae.
Who is teaching language and society?,The instructor of language and societyis Seong Hee-jae.
When is language and societyheld?,"language and societyis held on Thu2,3,4."
What time is language and societyheld?,"language and societyis held on Thu2,3,4."
What time is language and societyheld?,"language and societyis held on Thu2,3,4."
